date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:41	15222/15222	---M--	200	added ('OK')	image/png	etag:%22041f124398c1312f9c6233cd564c6743%22	http://product.hstatic.net/1000271846/product/01_ca621a7fa32e4029b8b5ba6850ec2782_medium.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_ca621a7fa32e4029b8b5ba6850ec2782_medium.png	(from https://www.zoe-vn.com/collections/all)
15:10:48	55391/55391	---M--	200	added ('OK')	image/png	etag:%229f1cffa71ebb576284ace03713b316c4%22	http://product.hstatic.net/1000271846/product/01_ca621a7fa32e4029b8b5ba6850ec2782_large.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_ca621a7fa32e4029b8b5ba6850ec2782_large.png	(from https://www.zoe-vn.com/collections/all)
15:10:49	6872/6872	---M--	200	added ('OK')	image/jpeg	etag:%229fef0b2f9f67ca9f34d436ed17d739ac%22	http://product.hstatic.net/1000271846/product/02_7182cff4c4cb443bbfc10692e733f267_medium.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_7182cff4c4cb443bbfc10692e733f267_medium.jpg	(from https://www.zoe-vn.com/collections/all)
15:10:55	85685/85685	---M--	200	added ('OK')	image/png	etag:%22fd1d5c1d16ae6d32fddf9e3a89ce877b%22	http://product.hstatic.net/1000271846/product/01_ca621a7fa32e4029b8b5ba6850ec2782_grande.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_ca621a7fa32e4029b8b5ba6850ec2782_grande.png	(from https://www.zoe-vn.com/collections/all)
15:10:57	47076/47076	---M--	200	added ('OK')	image/jpeg	etag:%22dfa370600eee985f34119f4c8d9ccd24%22	http://product.hstatic.net/1000271846/product/02_7182cff4c4cb443bbfc10692e733f267_large.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_7182cff4c4cb443bbfc10692e733f267_large.jpg	(from https://www.zoe-vn.com/collections/all)
15:10:58	3214/3214	---M--	200	added ('OK')	image/jpeg	etag:%22a9fc8c95029242b4cddbceedeaa77333%22	http://product.hstatic.net/1000271846/product/01_50aa91fe017545a3bb7c939d3bcdd3cc_medium.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_50aa91fe017545a3bb7c939d3bcdd3cc_medium.jpg	(from https://www.zoe-vn.com/collections/all)
15:10:58	148250/148250	---M--	200	added ('OK')	image/jpeg	etag:%22a56d93a6c78915c4abfc1bdf039095a1%22	http://theme.hstatic.net/1000271846/1001087843/14/mb_collection_banner.jpg?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/mb_collection_banner1147.jpg	(from https://www.zoe-vn.com/collections/all)
15:10:59	9166/9166	---M--	200	added ('OK')	image/jpeg	etag:%2284a636bd81b5baca7aec19e12c10a8a0%22	http://product.hstatic.net/1000271846/product/01_50aa91fe017545a3bb7c939d3bcdd3cc_large.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_50aa91fe017545a3bb7c939d3bcdd3cc_large.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:01	14354/14354	---M--	200	added ('OK')	image/jpeg	etag:%22cb693c0ef77d70ad86e991421c83f9cd%22	http://product.hstatic.net/1000271846/product/01_50aa91fe017545a3bb7c939d3bcdd3cc_grande.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_50aa91fe017545a3bb7c939d3bcdd3cc_grande.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:01	13565/13565	---M--	200	added ('OK')	image/jpeg	etag:%225b5474a1a59db5d35d4fae02b9e0fe57%22	http://product.hstatic.net/1000271846/product/02_11f6fd7e6d5d44b5b72020eb3484367f_medium.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_11f6fd7e6d5d44b5b72020eb3484367f_medium.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:07	79496/79496	---M--	200	added ('OK')	image/jpeg	etag:%222bfe48b963eabe209aedf78050e76842%22	http://product.hstatic.net/1000271846/product/02_7182cff4c4cb443bbfc10692e733f267_grande.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_7182cff4c4cb443bbfc10692e733f267_grande.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:11	20093/20093	---M--	200	added ('OK')	image/png	etag:%220246e156e172d12d1a9692308237216a%22	http://product.hstatic.net/1000271846/product/01_75e8d2caf6b24c07829698b02d1f7a74_medium.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_75e8d2caf6b24c07829698b02d1f7a74_medium.png	(from https://www.zoe-vn.com/collections/all)
15:11:20	115860/115860	---M--	200	added ('OK')	image/jpeg	etag:%2207e5bcd432fcabf51888e4aa7691bdf1%22	http://product.hstatic.net/1000271846/product/02_11f6fd7e6d5d44b5b72020eb3484367f_large.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_11f6fd7e6d5d44b5b72020eb3484367f_large.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:21	119139/119139	---M--	200	added ('OK')	image/jpeg	etag:%22145a4c72c3dafe3251cd9a83cc06bf46%22	http://product.hstatic.net/1000271846/product/02_11f6fd7e6d5d44b5b72020eb3484367f_grande.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_11f6fd7e6d5d44b5b72020eb3484367f_grande.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:23	75903/75903	---M--	200	added ('OK')	image/png	etag:%22c610e13f8b302e3e1fc804ba34cd5368%22	http://product.hstatic.net/1000271846/product/01_75e8d2caf6b24c07829698b02d1f7a74_large.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_75e8d2caf6b24c07829698b02d1f7a74_large.png	(from https://www.zoe-vn.com/collections/all)
15:11:29	46887/46887	---M--	200	added ('OK')	image/jpeg	etag:%22dda5596b0a88b6b79c4b08629c9b2201%22	http://product.hstatic.net/1000271846/product/02_aeccaeba6197484ea8f343a8f4e27964_large.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_aeccaeba6197484ea8f343a8f4e27964_large.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:35	118406/118406	---M--	200	added ('OK')	image/png	etag:%22a2b5a1cf6c45a11fe99d6a36c2affbd2%22	http://product.hstatic.net/1000271846/product/01_75e8d2caf6b24c07829698b02d1f7a74_grande.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_75e8d2caf6b24c07829698b02d1f7a74_grande.png	(from https://www.zoe-vn.com/collections/all)
15:11:37	7258/7258	---M--	200	added ('OK')	image/jpeg	etag:%220718fdbb52d0f26b89e57a9a9f035d64%22	http://product.hstatic.net/1000271846/product/02_aeccaeba6197484ea8f343a8f4e27964_medium.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_aeccaeba6197484ea8f343a8f4e27964_medium.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:38	79202/79202	---M--	200	added ('OK')	image/jpeg	etag:%22cd7f223e0309c6aeba41af59089d3e46%22	http://product.hstatic.net/1000271846/product/02_aeccaeba6197484ea8f343a8f4e27964_grande.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_aeccaeba6197484ea8f343a8f4e27964_grande.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:40	476346/476346	---M--	200	added ('OK')	image/jpeg	etag:%22941cc63b71ba055fa490f25857faa155%22	http://theme.hstatic.net/1000271846/1001087843/14/collection_banner.jpg?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/collection_banner1147.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:45	97242/97242	---M--	200	added ('OK')	image/png	etag:%22cd378adb826701da2221970af2bd8acb%22	http://product.hstatic.net/1000271846/product/01_79e0738f02bb4a7fbf3aa36354c20afa_grande.png	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/01_79e0738f02bb4a7fbf3aa36354c20afa_grande.png	(from https://www.zoe-vn.com/collections/all)
15:11:46	5689/5689	---M--	200	added ('OK')	image/jpeg	etag:%22a594b5aefa7f164a59a442c5ee74eabb%22	http://product.hstatic.net/1000271846/product/02_1f83556e1f1a46b78a0c4a541cc3f974_medium.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_1f83556e1f1a46b78a0c4a541cc3f974_medium.jpg	(from https://www.zoe-vn.com/collections/all)
15:11:47	37984/37984	---M--	200	added ('OK')	image/jpeg	etag:%222e44ca35acaf1a759ed8ddc9174c54a7%22	http://product.hstatic.net/1000271846/product/02_1f83556e1f1a46b78a0c4a541cc3f974_large.jpg	C:/Users/pc/Desktop/chim/product.hstatic.net/1000271846/product/02_1f83556e1f1a46b78a0c4a541cc3f974_large.jpg	(from https://www.zoe-vn.com/collections/all)
